PassengerId,Survived
892,1
893,1
894,0
895,1
896,0
897,1
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,0
906,0
907,0
908,1
909,0
910,1
911,1
912,0
913,1
914,1
915,0
916,0
917,0
918,0
919,1
920,0
921,1
922,1
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,1
931,0
932,1
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,1
948,0
949,1
950,0
951,0
952,1
953,0
954,0
955,1
956,0
957,0
958,0
959,0
960,1
961,0
962,1
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,1
972,0
973,1
974,1
975,0
976,0
977,0
978,1
979,1
980,0
981,1
982,0
983,0
984,0
985,0
986,0
987,1
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,0
996,0
997,0
998,1
999,0
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,0
1008,0
1009,0
1010,1
1011,0
1012,0
1013,1
1014,1
1015,1
1016,0
1017,1
1018,0
1019,1
1020,0
1021,1
1022,1
1023,0
1024,0
1025,0
1026,0
1027,0
1028,0
1029,1
1030,0
1031,1
1032,0
1033,1
1034,0
